ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
COTTER SCHOOL DISTRICT,Arkansas,AR ,0504680,1-Regular local school district that is NOT a component of a supervisory union,778,85.96,8741000,2196000,5072000,1473000,8292000
COTTON CENTER ISD,Texas,TX ,4815360,1-Regular local school district that is NOT a component of a supervisory union,96,14.06,1762000,478000,1094000,190000,2157000
COTTONWOOD,Oklahoma,OK ,4008730,1-Regular local school district that is NOT a component of a supervisory union,156,16.50,2285000,482000,1305000,498000,2339000
COTTONWOOD CREEK CHARTER DISTRICT,CALIFORNIA,CA ,0601811,7-Independent Charter District,245,10.16,2380000,647000,1677000,56000,2129000
COTTONWOOD DAY SCHOOL,Bureau of Indian Education,BI ,5900032,1-Regular local school district that is NOT a component of a supervisory union,172,9.00,†,†,†,†,†
COTTONWOOD DISTRICT,CALIFORNIA,CA ,0602524,7-Independent Charter District,2372,87.55,26248000,6674000,17792000,1782000,22708000
COTTONWOOD ELEM,Montana,MT ,3014150,1-Regular local school district that is NOT a component of a supervisory union,25,2.00,285000,143000,91000,51000,285000
COTTONWOOD ELEM,Montana,MT ,3007500,1-Regular local school district that is NOT a component of a supervisory union,17,2.00,260000,106000,111000,43000,251000
COTTONWOOD JOINT DISTRICT,Idaho,ID ,1600810,1-Regular local school district that is NOT a component of a supervisory union,405,28.60,5266000,669000,3346000,1251000,4730000
COTTONWOOD UNION ELEMENTARY,California,CA ,0609990,1-Regular local school district that is NOT a component of a supervisory union,947,47.01,12419000,3036000,7934000,1449000,11092000
COTTONWOOD-OAK CREEK ELEMENTARY DISTRICT (4487),Arizona,AZ ,0402370,1-Regular local school district that is NOT a component of a supervisory union,1887,113.15,21423000,8619000,7908000,4896000,19646000
COTULLA ISD,Texas,TX ,4815400,1-Regular local school district that is NOT a component of a supervisory union,1265,111.89,25075000,20989000,1891000,2195000,70837000
COUCH R-I,Missouri,MO ,2910200,1-Regular local school district that is NOT a component of a supervisory union,215,18.85,2772000,889000,958000,925000,2228000
COUDERSPORT AREA SD,Pennsylvania,PA ,4206930,1-Regular local school district that is NOT a component of a supervisory union,728,56.00,14471000,5948000,7469000,1054000,13156000
COULEE-HARTLINE SCHOOL DISTRICT,Washington,WA ,5303440,1-Regular local school district that is NOT a component of a supervisory union,180,14.73,4099000,520000,3281000,298000,3513000
COULTERVILLE USD 1,Illinois,IL ,1710980,1-Regular local school district that is NOT a component of a supervisory union,193,–,3925000,1079000,2520000,326000,3777000
COUNCIL BLUFFS COMM SCHOOL DISTRICT,Iowa,IA ,1908220,1-Regular local school district that is NOT a component of a supervisory union,8910,596.28,150788000,46523000,86864000,17401000,151963000
COUNCIL DISTRICT,Idaho,ID ,1600840,1-Regular local school district that is NOT a component of a supervisory union,289,19.00,3439000,391000,2406000,642000,3028000
COUNCIL ROCK SD,Pennsylvania,PA ,4206960,1-Regular local school district that is NOT a component of a supervisory union,10494,751.10,257842000,195713000,56584000,5545000,247748000
COUNTRY CLUB HILLS SD 160,Illinois,IL ,1711010,1-Regular local school district that is NOT a component of a supervisory union,1282,–,24478000,9205000,11844000,3429000,18941000
COUNTRY GARDENS CHARTER SCHOOLS (79074),Arizona,AZ ,0400429,7-Independent Charter District,412,–,4341000,97000,3681000,563000,4608000
COUNTRYSIDE ACADEMY,Michigan,MI ,2600142,7-Independent Charter District,748,44.20,8713000,281000,7382000,1050000,7720000
COUNTY COLLABORATIVE CHARTER DISTRICT,CALIFORNIA,CA ,0601639,7-Independent Charter District,167,6.98,2533000,719000,1123000,691000,2445000
COUNTY LINE SCHOOL DISTRICT,Arkansas,AR ,0504740,1-Regular local school district that is NOT a component of a supervisory union,515,46.13,6541000,2121000,3132000,1288000,7459000
COUNTY OF UNION SCH DIST NO43,Illinois,IL ,1720640,1-Regular local school district that is NOT a component of a supervisory union,349,–,6003000,1297000,4092000,614000,5334000
COUNTY OF WINNEBAGO SD 320,Illinois,IL ,1736600,1-Regular local school district that is NOT a component of a supervisory union,938,–,16667000,6643000,8052000,1972000,14806000
COUNTY OF WOODFORD SCHOOL,Illinois,IL ,1725770,1-Regular local school district that is NOT a component of a supervisory union,942,–,19981000,10968000,8210000,803000,19156000
COUPEVILLE SCHOOL DISTRICT,Washington,WA ,5301800,1-Regular local school district that is NOT a component of a supervisory union,985,55.62,18770000,4959000,11919000,1892000,16249000
COUPLAND ISD,Texas,TX ,4815420,1-Regular local school district that is NOT a component of a supervisory union,173,12.84,2875000,1353000,1320000,202000,7963000
COVE DAY SCHOOL,Bureau of Indian Education,BI ,5900065,1-Regular local school district that is NOT a component of a supervisory union,42,6.00,†,†,†,†,†
COVE SD 15,Oregon,OR ,4103540,7-Independent Charter District,297,16.95,5316000,872000,3874000,570000,4574000
COVENANT HOUSE ACADEMY DETROIT,Michigan,MI ,2600322,7-Independent Charter District,509,20.90,7405000,1486000,4814000,1105000,7670000
COVENANT HOUSE ACADEMY GRAND RAPIDS,Michigan,MI ,2601066,7-Independent Charter District,238,12.00,3656000,529000,2580000,547000,3021000
COVENTRY,Rhode Island,RI ,4400210,1-Regular local school district that is NOT a component of a supervisory union,4390,348.91,83543000,48778000,29335000,5430000,84967000
COVENTRY LOCAL,Ohio,OH ,3904999,1-Regular local school district that is NOT a component of a supervisory union,1642,91.50,25090000,17512000,6171000,1407000,24190000
COVENTRY SCHOOL DISTRICT,Connecticut,CT ,0900960,1-Regular local school district that is NOT a component of a supervisory union,1601,146.80,36437000,21574000,13510000,1353000,35800000
COVENTRY SCHOOL DISTRICT,Vermont,VT ,5003360,2-Local school district that is a component of a supervisory union,128,10.54,3555000,42000,3442000,71000,3859000
COVERED BRIDGE SPEC ED DIST,Indiana,IN ,1802420,8-Other education agencies,0,0.00,7296000,2487000,62000,4747000,7431000
COVERT PUBLIC SCHOOLS,Michigan,MI ,2610980,1-Regular local school district that is NOT a component of a supervisory union,353,19.00,8243000,6149000,795000,1299000,5930000
COVINA-VALLEY UNIFIED,California,CA ,0610050,1-Regular local school district that is NOT a component of a supervisory union,11332,492.22,288731000,50796000,180536000,57399000,260482000
COVINGTON CITY PBLC SCHS,Virginia,VA ,5100990,1-Regular local school district that is NOT a component of a supervisory union,1016,64.50,12049000,3113000,7671000,1265000,11691000
COVINGTON COMMUNITY SCHOOL CORP,Indiana,IN ,1802430,1-Regular local school district that is NOT a component of a supervisory union,827,67.30,11053000,5021000,5499000,533000,11983000
COVINGTON COUNTY,Alabama,AL ,0100930,1-Regular local school district that is NOT a component of a supervisory union,2880,189.43,36770000,9111000,22077000,5582000,34267000
COVINGTON COUNTY SCHOOL DISTRICT,Mississippi,MS ,2801290,1-Regular local school district that is NOT a component of a supervisory union,2647,194.90,34112000,11059000,15271000,7782000,31336000
COVINGTON EXEMPTED VILLAGE,Ohio,OH ,3904533,1-Regular local school district that is NOT a component of a supervisory union,712,49.32,13028000,6823000,4971000,1234000,12314000
COVINGTON INDEPENDENT,Kentucky,KY ,2101350,1-Regular local school district that is NOT a component of a supervisory union,3796,286.80,62365000,19538000,31056000,11771000,63401000
COVINGTON ISD,Texas,TX ,4815480,1-Regular local school district that is NOT a component of a supervisory union,276,23.58,5898000,1706000,2975000,1217000,7248000
COVINGTON-DOUGLAS,Oklahoma,OK ,4008790,1-Regular local school district that is NOT a component of a supervisory union,275,20.37,5559000,4412000,785000,362000,6295000
COWAN COMMUNITY SCHOOL CORP,Indiana,IN ,1807020,1-Regular local school district that is NOT a component of a supervisory union,805,54.00,8736000,2079000,5712000,945000,7701000
COWDEN-HERRICK CUSD 3A,Illinois,IL ,1700176,1-Regular local school district that is NOT a component of a supervisory union,318,–,6543000,1575000,4303000,665000,6168000
COWETA,Oklahoma,OK ,4008850,1-Regular local school district that is NOT a component of a supervisory union,3226,197.16,29143000,10880000,15826000,2437000,28923000
COWETA COUNTY,Georgia,GA ,1301500,1-Regular local school district that is NOT a component of a supervisory union,22241,1508.20,292653000,147339000,123194000,22120000,296512000
COWGILL R-VI,Missouri,MO ,2910230,1-Regular local school district that is NOT a component of a supervisory union,47,8.40,974000,331000,397000,246000,1055000
COWLEY COUNTY SPECIAL SERVICES COOPERATIVE,KANSAS,KS ,2000374,4-Regional Education Service Agency (RESA),0,0.00,†,†,†,†,†
COX ACADEMY DISTRICT,CALIFORNIA,CA ,0601718,7-Independent Charter District,581,25.00,8536000,1880000,6148000,508000,8000000
COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT,New York,NY ,3608490,1-Regular local school district that is NOT a component of a supervisory union,1218,112.97,33209000,18900000,12678000,1631000,33203000
COYLE,Oklahoma,OK ,4008940,1-Regular local school district that is NOT a component of a supervisory union,257,20.28,3456000,1747000,1223000,486000,3337000
COZAD COMMUNITY SCHOOLS,Nebraska,NE ,3105460,1-Regular local school district that is NOT a component of a supervisory union,929,74.71,14189000,9448000,3482000,1259000,13237000
CPLC COMMUNITY SCHOOLS (4300),Arizona,AZ ,0400144,7-Independent Charter District,90,–,1163000,67000,919000,177000,1268000
CPLC COMMUNITY SCHOOLS DBA HIAKI HIGH SCHOOL (90331),Arizona,AZ ,0400814,7-Independent Charter District,73,–,843000,7000,689000,147000,1022000
CPLC COMMUNITY SCHOOLS DBA TOLTECALLI HIGH SCHOOL (80032),Arizona,AZ ,0400382,7-Independent Charter District,150,–,1692000,18000,1411000,263000,1591000
CRAB ORCHARD CUSD 3,Illinois,IL ,1711100,1-Regular local school district that is NOT a component of a supervisory union,481,–,6955000,2304000,4086000,565000,7286000
CRAFT ACADEMY,KENTUCKY,KY ,2100290,8-Other education agencies,0,0.00,–,–,–,–,–
CRAFTSBURY TOWN SCHOOL DISTRICT,Vermont,VT ,5003390,2-Local school district that is a component of a supervisory union,209,19.89,3869000,589000,3254000,26000,3670000
CRAIG CITY SCHOOL DISTRICT,Alaska,AK ,0200090,1-Regular local school district that is NOT a component of a supervisory union,867,30.32,9509000,723000,7003000,1783000,9114000
CRAIG COUNTY PUBLIC SCHOOLS,Virginia,VA ,5101020,1-Regular local school district that is NOT a component of a supervisory union,546,48.26,7911000,2001000,4751000,1159000,7541000
CRAIG R-III,Missouri,MO ,2910260,1-Regular local school district that is NOT a component of a supervisory union,49,11.58,2283000,1802000,302000,179000,1527000
CRANBERRY AREA SD,Pennsylvania,PA ,4207050,1-Regular local school district that is NOT a component of a supervisory union,1098,89.46,21745000,7739000,12056000,1950000,19430000
CRANBERRY ISLES PUBLIC SCHOOLS,Maine,ME ,2304620,1-Regular local school district that is NOT a component of a supervisory union,15,2.71,691000,564000,70000,57000,587000
CRANBURY TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3403540,1-Regular local school district that is NOT a component of a supervisory union,463,55.87,21550000,18264000,2961000,325000,20020000
CRANDALL ISD,Texas,TX ,4815510,1-Regular local school district that is NOT a component of a supervisory union,4868,327.05,60861000,20913000,35978000,3970000,78255000
CRANDON SCHOOL DISTRICT,Wisconsin,WI ,5502910,1-Regular local school district that is NOT a component of a supervisory union,850,67.28,14668000,7650000,4838000,2180000,13338000
CRANE ELEMENTARY DISTRICT (4501),Arizona,AZ ,0402400,1-Regular local school district that is NOT a component of a supervisory union,5991,278.10,58756000,9244000,35765000,13747000,50563000
CRANE ISD,Texas,TX ,4815540,1-Regular local school district that is NOT a component of a supervisory union,1099,87.05,15694000,11775000,2634000,1285000,20525000
CRANE R-III,Missouri,MO ,2910290,1-Regular local school district that is NOT a component of a supervisory union,548,43.40,5998000,1960000,2888000,1150000,6049000
CRANFILLS GAP ISD,Texas,TX ,4815570,1-Regular local school district that is NOT a component of a supervisory union,129,15.21,2477000,1071000,1123000,283000,2210000
CRANFORD PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3403570,1-Regular local school district that is NOT a component of a supervisory union,3710,338.84,83548000,64970000,17005000,1573000,80383000
CRANSTON,Rhode Island,RI ,4400240,1-Regular local school district that is NOT a component of a supervisory union,10403,789.13,195782000,98567000,82426000,14789000,191422000
CRAVEN COUNTY SCHOOLS,North Carolina,NC ,3703310,1-Regular local school district that is NOT a component of a supervisory union,12764,806.77,142208000,27124000,89756000,25328000,137280000
CRAWFORD AUSABLE SCHOOLS,Michigan,MI ,2611030,1-Regular local school district that is NOT a component of a supervisory union,1629,98.01,22437000,8743000,10707000,2987000,18967000
CRAWFORD CENTRAL SD,Pennsylvania,PA ,4207080,1-Regular local school district that is NOT a component of a supervisory union,3200,243.12,64202000,27622000,31628000,4952000,64583000
CRAWFORD CO. R-I,Missouri,MO ,2905640,1-Regular local school district that is NOT a component of a supervisory union,905,67.86,12047000,4821000,4505000,2721000,10902000
CRAWFORD CO. R-II,Missouri,MO ,2910410,1-Regular local school district that is NOT a component of a supervisory union,1290,97.69,14560000,6485000,5836000,2239000,13227000
CRAWFORD COUNTY,Georgia,GA ,1301530,1-Regular local school district that is NOT a component of a supervisory union,1643,114.00,30973000,6294000,22416000,2263000,42661000
CRAWFORD COUNTY COMMUNITY SCH CORP,Indiana,IN ,1802440,1-Regular local school district that is NOT a component of a supervisory union,1391,92.90,17657000,5127000,10667000,1863000,19966000
CRAWFORD COUNTY CTC,Pennsylvania,PA ,4280170,9-Specialized public school district,9,17.00,7157000,5209000,1190000,758000,6249000
CRAWFORD ISD,Texas,TX ,4815600,1-Regular local school district that is NOT a component of a supervisory union,561,52.51,8666000,3290000,4945000,431000,6891000
CRAWFORD PUBLIC SCHOOLS,Nebraska,NE ,3105520,1-Regular local school district that is NOT a component of a supervisory union,168,18.01,3936000,2363000,1105000,468000,4173000
CRAWFORD PUBLIC SCHOOLS,Maine,ME ,2304650,1-Regular local school district that is NOT a component of a supervisory union,0,0.00,83000,74000,9000,0,131000
CRAWFORDSVILLE COMMUNITY SCHOOLS,Indiana,IN ,1802460,1-Regular local school district that is NOT a component of a supervisory union,2546,175.84,36143000,12658000,19335000,4150000,33793000
CRAZY HORSE SCHOOL,Bureau of Indian Education,BI ,5900113,1-Regular local school district that is NOT a component of a supervisory union,212,25.00,†,†,†,†,†
CREATIVE ARTS CHARTER DISTRICT,CALIFORNIA,CA ,0602155,7-Independent Charter District,422,23.30,5345000,2221000,2201000,923000,5181000
CREATIVE MINDS INTERNATIONAL PCS,District of Columbia,DC ,1100084,7-Independent Charter District,548,51.00,16860000,14503000,0,2357000,45055000
CREATIVE MONTESSORI ACADEMY,Michigan,MI ,2600270,7-Independent Charter District,818,41.70,8374000,455000,7075000,844000,7131000
CREATIVE TECHNOLOGIES ACADEMY,Michigan,MI ,2600207,7-Independent Charter District,309,18.95,3654000,439000,2979000,236000,3143000
CREATIVITY COLABORATORY CHARTER SCHOOL,NEW JERSEY,NJ ,3400805,7-Independent Charter District,144,13.00,2099000,1961000,61000,77000,2091000
CREDO HIGH DISTRICT,CALIFORNIA,CA ,0602269,7-Independent Charter District,394,25.55,5262000,2482000,2554000,226000,4690000
CREEDE SCHOOL DISTRICT,Colorado,CO ,0803150,1-Regular local school district that is NOT a component of a supervisory union,81,12.56,2934000,2117000,567000,250000,2453000
CREEK VALLEY SCHOOLS,Nebraska,NE ,3100140,1-Regular local school district that is NOT a component of a supervisory union,196,18.12,4602000,3718000,645000,239000,5092000
CREEKSIDE CHARTER DISTRICT,CALIFORNIA,CA ,0601511,7-Independent Charter District,209,11.00,1948000,303000,1597000,48000,1857000
CREIGHTON COMMUNITY PUBLIC SCHOOLS,Nebraska,NE ,3105550,1-Regular local school district that is NOT a component of a supervisory union,274,30.97,5119000,4011000,821000,287000,5187000
CREIGHTON ELEMENTARY DISTRICT (4263),Arizona,AZ ,0402430,1-Regular local school district that is NOT a component of a supervisory union,5356,296.25,69737000,26091000,25336000,18310000,58964000
CRENSHAW COUNTY,Alabama,AL ,0100960,1-Regular local school district that is NOT a component of a supervisory union,2211,139.67,28294000,5326000,16818000,6150000,25675000
