ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
BRISTOL #1 SCHOOL DISTRICT,Wisconsin,WI ,5501710,1-Regular local school district that is NOT a component of a supervisory union,782,53.74
BRISTOL BAY BOROUGH SCHOOL DISTRICT,Alaska,AK ,0200030,1-Regular local school district that is NOT a component of a supervisory union,121,10.50
BRISTOL BOROUGH SD,Pennsylvania,PA ,4204200,1-Regular local school district that is NOT a component of a supervisory union,1170,87.00
BRISTOL CITY PUBLIC SCHOOLS,Virginia,VA ,5100450,1-Regular local school district that is NOT a component of a supervisory union,2194,207.00
BRISTOL COUNTY AGRICULTURAL,Massachusetts,MA ,2503070,1-Regular local school district that is NOT a component of a supervisory union,549,46.79
BRISTOL LOCAL,Ohio,OH ,3905011,1-Regular local school district that is NOT a component of a supervisory union,466,35.38
BRISTOL PUBLIC SCHOOLS,Maine,ME ,2303600,1-Regular local school district that is NOT a component of a supervisory union,276,15.99
BRISTOL SCHOOL DISTRICT,Connecticut,CT ,0900510,1-Regular local school district that is NOT a component of a supervisory union,7784,632.23
BRISTOL TOWNSHIP SD,Pennsylvania,PA ,4204230,1-Regular local school district that is NOT a component of a supervisory union,6086,386.20
BRISTOL WARREN,Rhode Island,RI ,4400065,1-Regular local school district that is NOT a component of a supervisory union,2888,213.30
BRISTOL-PLYMOUTH REGIONAL VOCATIONAL TECHNICAL,Massachusetts,MA ,2503080,1-Regular local school district that is NOT a component of a supervisory union,1310,101.75
BRISTOW,Oklahoma,OK ,4005460,1-Regular local school district that is NOT a component of a supervisory union,1661,106.00
BRITTAN ELEMENTARY,California,CA ,0606090,1-Regular local school district that is NOT a component of a supervisory union,460,23.18
BRITTON DEERFIELD SCHOOLS,Michigan,MI ,2606930,1-Regular local school district that is NOT a component of a supervisory union,392,25.20
BRITTON-HECLA SCHOOL DISTRICT 45-4,South Dakota,SD ,4600041,1-Regular local school district that is NOT a component of a supervisory union,476,35.31
BRIYA PCS,District of Columbia,DC ,1100016,7-Independent Charter District,63,0.00
BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,New York,NY ,3600005,1-Regular local school district that is NOT a component of a supervisory union,1724,142.30
BROADDUS ISD,Texas,TX ,4811430,1-Regular local school district that is NOT a component of a supervisory union,383,35.11
BROADUS ELEM,Montana,MT ,3000006,1-Regular local school district that is NOT a component of a supervisory union,150,12.24
BROADVIEW ELEM,Montana,MT ,3004890,1-Regular local school district that is NOT a component of a supervisory union,119,10.91
BROADVIEW H S,Montana,MT ,3004920,1-Regular local school district that is NOT a component of a supervisory union,56,5.72
BROADWATER,Montana,MT ,3000013,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†
BROADWAY ACADEMY,Ohio,OH ,3901430,7-Independent Charter District,401,28.50
BROCK ISD,Texas,TX ,4811460,1-Regular local school district that is NOT a component of a supervisory union,2085,158.94
BROCKPORT CENTRAL SCHOOL DISTRICT,New York,NY ,3605580,1-Regular local school district that is NOT a component of a supervisory union,3177,273.50
BROCKTON,Massachusetts,MA ,2503090,1-Regular local school district that is NOT a component of a supervisory union,14999,1095.92
BROCKTON ELEM,Montana,MT ,3005010,1-Regular local school district that is NOT a component of a supervisory union,105,11.78
BROCKTON H S,Montana,MT ,3005040,1-Regular local school district that is NOT a component of a supervisory union,52,6.07
BROCKWAY AREA SD,Pennsylvania,PA ,4204260,1-Regular local school district that is NOT a component of a supervisory union,890,74.00
BROCTON CENTRAL SCHOOL DISTRICT,New York,NY ,3605610,1-Regular local school district that is NOT a component of a supervisory union,531,55.88
BRODHEAD SCHOOL DISTRICT,Wisconsin,WI ,5501740,1-Regular local school district that is NOT a component of a supervisory union,1016,80.06
BROKEN ARROW,Oklahoma,OK ,4005490,1-Regular local school district that is NOT a component of a supervisory union,20115,1068.81
BROKEN BOW,Oklahoma,OK ,4005520,1-Regular local school district that is NOT a component of a supervisory union,1583,92.86
BROKEN BOW PUBLIC SCHOOLS,Nebraska,NE ,3100011,1-Regular local school district that is NOT a component of a supervisory union,890,59.87
BRONAUGH R-VII,Missouri,MO ,2905910,1-Regular local school district that is NOT a component of a supervisory union,176,19.00
BRONSON COMMUNITY SCHOOL DISTRICT,Michigan,MI ,2606960,1-Regular local school district that is NOT a component of a supervisory union,993,52.00
BRONTE ISD,Texas,TX ,4811490,1-Regular local school district that is NOT a component of a supervisory union,235,28.42
BRONX ACADEMY OF PROMISE CHARTER SCHOOL,New York,NY ,3600956,7-Independent Charter District,549,29.00
BRONX ARTS AND SCIENCE CHARTER SCHOOL,NEW YORK,NY ,3601199,7-Independent Charter District,341,33.00
BRONX CHARTER SCHOOL FOR BETTER LEARNING,New York,NY ,3600089,7-Independent Charter District,546,29.89
BRONX CHARTER SCHOOL FOR BETTER LEARNING II,NEW YORK,NY ,3601127,7-Independent Charter District,430,25.44
BRONX CHARTER SCHOOL FOR CHILDREN,New York,NY ,3600110,7-Independent Charter District,524,42.00
BRONX CHARTER SCHOOL FOR EXCELLENCE,New York,NY ,3600113,7-Independent Charter District,792,38.00
BRONX CHARTER SCHOOL FOR EXCELLENCE 2,NEW YORK,NY ,3601142,7-Independent Charter District,461,19.00
BRONX CHARTER SCHOOL FOR EXCELLENCE 3,NEW YORK,NY ,3601157,7-Independent Charter District,479,25.00
BRONX CHARTER SCHOOL FOR EXCELLENCE 4,NEW YORK,NY ,3601180,7-Independent Charter District,338,22.00
BRONX CHARTER SCHOOL FOR EXCELLENCE 5,NEW YORK,NY ,3601200,7-Independent Charter District,265,13.00
BRONX CHARTER SCHOOL FOR THE ARTS,New York,NY ,3600063,7-Independent Charter District,596,51.00
BRONX COMMUNITY CHARTER SCHOOL,New York,NY ,3600968,7-Independent Charter District,459,43.80
BRONX PREPARATORY CHARTER SCHOOL,New York,NY ,3600042,7-Independent Charter District,879,97.89
BRONXVILLE UNION FREE SCHOOL DISTRICT,New York,NY ,3605640,1-Regular local school district that is NOT a component of a supervisory union,1555,127.70
BRONZEVILLE ACADEMY CHTR SCHOOL,ILLINOIS,IL ,1701431,7-Independent Charter District,330,1.00
BROOKE CHARTER SCHOOL (DISTRICT),Massachusetts,MA ,2500071,7-Independent Charter District,2223,175.55
BROOKE COUNTY SCHOOLS,West Virginia,WV ,5400150,1-Regular local school district that is NOT a component of a supervisory union,2479,182.00
BROOKELAND ISD,Texas,TX ,4811520,1-Regular local school district that is NOT a component of a supervisory union,341,37.50
BROOKESMITH ISD,Texas,TX ,4811550,1-Regular local school district that is NOT a component of a supervisory union,188,21.96
BROOKFIELD,Massachusetts,MA ,2503120,1-Regular local school district that is NOT a component of a supervisory union,291,23.90
BROOKFIELD CENTRAL SCHOOL DISTRICT,New York,NY ,3605670,1-Regular local school district that is NOT a component of a supervisory union,223,22.99
BROOKFIELD ENGINEERING SCIENCE TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,CA ,0602501,7-Independent Charter District,379,15.90
BROOKFIELD LAGRANGE PARK SD 95,Illinois,IL ,1707320,1-Regular local school district that is NOT a component of a supervisory union,1335,97.60
BROOKFIELD LOCAL,Ohio,OH ,3905012,1-Regular local school district that is NOT a component of a supervisory union,992,60.15
BROOKFIELD R-III,Missouri,MO ,2905940,1-Regular local school district that is NOT a component of a supervisory union,877,82.00
BROOKFIELD SCHOOL DISTRICT,Connecticut,CT ,0900540,1-Regular local school district that is NOT a component of a supervisory union,2563,213.70
BROOKHAVEN SCHOOL DIST,Mississippi,MS ,2800840,1-Regular local school district that is NOT a component of a supervisory union,2586,202.01
BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,New York,NY ,3615780,1-Regular local school district that is NOT a component of a supervisory union,3571,275.34
BROOKINGS SCHOOL DISTRICT 05-1,South Dakota,SD ,4608520,1-Regular local school district that is NOT a component of a supervisory union,3431,236.95
BROOKINGS-HARBOR SD 17C,Oregon,OR ,4102310,1-Regular local school district that is NOT a component of a supervisory union,1398,77.39
BROOKLAND SCHOOL DISTRICT,Arkansas,AR ,0503640,1-Regular local school district that is NOT a component of a supervisory union,3060,190.58
BROOKLAWN PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3402370,1-Regular local school district that is NOT a component of a supervisory union,280,31.80
BROOKLIN PUBLIC SCHOOLS,Maine,ME ,2303610,1-Regular local school district that is NOT a component of a supervisory union,74,7.81
BROOKLINE,Massachusetts,MA ,2503150,1-Regular local school district that is NOT a component of a supervisory union,7116,610.32
BROOKLINE SCHOOL DISTRICT,New Hampshire,NH ,3302070,1-Regular local school district that is NOT a component of a supervisory union,582,48.40
BROOKLYN ASCEND CHARTER SCHOOL,New York,NY ,3600966,7-Independent Charter District,1376,113.00
BROOKLYN CENTER SCHOOL DISTRICT,Minnesota,MN ,2706240,1-Regular local school district that is NOT a component of a supervisory union,2124,135.05
BROOKLYN CHARTER SCHOOL (THE),New York,NY ,3600045,7-Independent Charter District,166,0.00
BROOKLYN CITY,Ohio,OH ,3904365,1-Regular local school district that is NOT a component of a supervisory union,1165,63.14
BROOKLYN DREAMS CHARTER SCHOOL,New York,NY ,3601015,7-Independent Charter District,616,26.00
BROOKLYN EAST COLLEGIATE CHARTER SCHOOL,New York,NY ,3601033,7-Independent Charter District,66,0.00
BROOKLYN EMERGING LEADERS ACADEMY CHARTER SCHOOL,NEW YORK,NY ,3601160,7-Independent Charter District,236,25.00
BROOKLYN EXCELSIOR CHARTER SCHOOL,New York,NY ,3600116,7-Independent Charter District,610,27.00
BROOKLYN LABORATORY CHARTER SCHOOL,NEW YORK,NY ,3601111,7-Independent Charter District,454,36.94
BROOKLYN PROSPECT CHARTER SCHOOL - CSD 13.2,NEW YORK,NY ,3601134,7-Independent Charter District,404,36.00
BROOKLYN PROSPECT CHARTER SCHOOL - CSD 15.2,NEW YORK,NY ,3601206,7-Independent Charter District,1084,124.66
BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13,NEW YORK,NY ,3601150,7-Independent Charter District,704,58.00
BROOKLYN RISE CHARTER SCHOOL,NEW YORK,NY ,3601204,7-Independent Charter District,210,22.00
BROOKLYN SCHOLARS CHARTER SCHOOL,New York,NY ,3600989,7-Independent Charter District,717,31.00
BROOKLYN SCHOOL DISTRICT,Connecticut,CT ,0900570,1-Regular local school district that is NOT a component of a supervisory union,903,71.70
BROOKLYN UD 188,Illinois,IL ,1723640,1-Regular local school district that is NOT a component of a supervisory union,147,9.00
BROOKLYN URBAN GARDEN CHARTER SCHOOL,New York,NY ,3601100,7-Independent Charter District,310,37.90
BROOKLYN-GUERNSEY-MALCOM COMM SCHOOL DISTRICT,Iowa,IA ,1905490,1-Regular local school district that is NOT a component of a supervisory union,561,42.76
BROOKS COUNTY,Georgia,GA ,1300540,1-Regular local school district that is NOT a component of a supervisory union,2141,158.70
BROOKS COUNTY ISD,Texas,TX ,4811580,1-Regular local school district that is NOT a component of a supervisory union,1285,88.97
BROOKSIDE CHARTER SCH.,Missouri,MO ,2900024,7-Independent Charter District,742,70.50
BROOKSVILLE PUBLIC SCHOOLS,Maine,ME ,2303640,1-Regular local school district that is NOT a component of a supervisory union,81,9.70
BROOKVILLE AREA SD,Pennsylvania,PA ,4204320,1-Regular local school district that is NOT a component of a supervisory union,1364,106.17
BROOKVILLE LOCAL,Ohio,OH ,3904867,1-Regular local school district that is NOT a component of a supervisory union,1476,76.96
BROOKWOOD SD 167,Illinois,IL ,1716950,1-Regular local school district that is NOT a component of a supervisory union,1081,64.00
BROOME STREET ACADEMY CHARTER HIGH SCHOOL,New York,NY ,3601043,7-Independent Charter District,270,33.54
BROOME-DELAWARE-TIOGA BOCES,New York,NY ,3680140,4-Regional Education Service Agency (RESA),0,198.77
BRORSON ELEM,Montana,MT ,3005130,1-Regular local school district that is NOT a component of a supervisory union,4,1.50
BROWARD,Florida,FL ,1200180,1-Regular local school district that is NOT a component of a supervisory union,254732,12532.89
BROWERVILLE PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2706300,1-Regular local school district that is NOT a component of a supervisory union,558,30.80
BROWN CITY COMMUNITY SCHOOLS,Michigan,MI ,2607040,1-Regular local school district that is NOT a component of a supervisory union,717,39.41
BROWN CO CDEB,Wisconsin,WI ,5500018,9-Specialized public school district,0,25.60
BROWN CO KS SPECIAL ED COOP,Kansas,KS ,2000033,4-Regional Education Service Agency (RESA),0,0.00
BROWN COUNTY CUSD 1,Illinois,IL ,1727300,1-Regular local school district that is NOT a component of a supervisory union,680,54.47
BROWN COUNTY SCHOOL CORPORATION,Indiana,IN ,1800960,1-Regular local school district that is NOT a component of a supervisory union,1653,117.00
BROWN DEER SCHOOL DISTRICT,Wisconsin,WI ,5501800,1-Regular local school district that is NOT a component of a supervisory union,1655,114.45
BROWN ESC,Ohio,OH ,3904602,4-Regional Education Service Agency (RESA),0,12.00
BROWN LOCAL,Ohio,OH ,3904617,1-Regular local school district that is NOT a component of a supervisory union,589,44.42
BROWNFIELD ISD,Texas,TX ,4811610,1-Regular local school district that is NOT a component of a supervisory union,1647,129.29
BROWNING ELEM,Montana,MT ,3005140,1-Regular local school district that is NOT a component of a supervisory union,1266,106.50
BROWNING H S,Montana,MT ,3005190,1-Regular local school district that is NOT a component of a supervisory union,563,37.50
BROWNS ELEMENTARY,California,CA ,0606100,1-Regular local school district that is NOT a component of a supervisory union,122,7.00
BROWNS VALLEY PUBLIC SCHOOL DIST,Minnesota,MN ,2707110,1-Regular local school district that is NOT a component of a supervisory union,180,13.50
BROWNSBORO ISD,Texas,TX ,4811640,1-Regular local school district that is NOT a component of a supervisory union,2620,189.37
BROWNSBURG COMMUNITY SCHOOL CORP,Indiana,IN ,1801020,1-Regular local school district that is NOT a component of a supervisory union,10172,596.00
BROWNSTOWN CNT COM SCH CORP,Indiana,IN ,1801050,1-Regular local school district that is NOT a component of a supervisory union,1433,91.00
BROWNSTOWN CUSD 201,Illinois,IL ,1707440,1-Regular local school district that is NOT a component of a supervisory union,414,34.25
BROWNSVILLE AREA SD,Pennsylvania,PA ,4204080,1-Regular local school district that is NOT a component of a supervisory union,1486,101.00
BROWNSVILLE ASCEND CHARTER SCHOOL,New York,NY ,3601002,7-Independent Charter District,871,60.00
BROWNSVILLE COLLEGIATE  CHARTER SCHOOL,New York,NY ,3600984,7-Independent Charter District,117,17.00
BROWNSVILLE ISD,Texas,TX ,4811680,1-Regular local school district that is NOT a component of a supervisory union,37898,2575.88
BROWNWOOD ISD,Texas,TX ,4811700,1-Regular local school district that is NOT a component of a supervisory union,3443,259.74
BRUCE SCHOOL DISTRICT,Wisconsin,WI ,5501830,1-Regular local school district that is NOT a component of a supervisory union,410,43.29
BRUCEVILLE-EDDY ISD,Texas,TX ,4811730,1-Regular local school district that is NOT a component of a supervisory union,588,69.37
BRUNEAU-GRAND VIEW JOINT SCHOOL DISTRICT,Idaho,ID ,1600450,1-Regular local school district that is NOT a component of a supervisory union,302,23.36
BRUNING-DAVENPORT UNIFIED SYS,Nebraska,NE ,3100124,1-Regular local school district that is NOT a component of a supervisory union,178,25.81
